class,affirmative,long,short,neg_total,p_long_of_neg,p_short_of_neg,neg_rate_of_all,total_all,verbs
transitive_action,4877,83,4,87,0.9540229885057471,0.04597701149425287,0.017526188557614827,4964,"['하', '문지르', '찾', '주', '쓰', '가지', '깨뜨리', '따', '먹이', '고르', '지르']"
existential,3468,0,0,0,,,0.0,3468,['있']
change_of_state,1889,37,91,128,0.2890625,0.7109375,0.06346058502726822,2017,['되']
other,1706,0,0,0,,,0.0,1706,"['않', '민감', '제창', '갈']"
perception,770,10,0,10,1.0,0.0,0.01282051282051282,780,['보']
motion,7,0,0,0,,,0.0,7,['내려오']
